year,Singer(s),Singer,Lyricist,Composer,Lyrics,Music,Artist(s)
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,"Ashok Kumar,Devika Rani",,,,,
1937,,"Ashok Kumar,Devika Rani",,,,,
1937,,"Mumtaz Ali, Sunita Devi",,,,,
1937,,Devika Rani,,,,,
1937,,Devika Rani,,,,,
1937,,"Devika Rani, Ashok Kumar",,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,"Surendra, Bibbo",,,,,
1937,,"Surendra, Maya Banerjee",,,,,
1937,,Surendra,,,,,
1937,,Rajkumari,,,,,
1937,,"Motilal, Maya Banerjee",,,,,
1937,,Surendra,,,,,
1937,,Bibbo,,,,,
1937,,Rajkumari,,,,,
1937,,Motilal,,,,,
1937,,Anil Biswas,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,"Balwant Singh, Devika Rani",,,,,
1937,,Devika Rani,,,,,
1937,,"Mumtaz Ali, Devika Rani",,,,,
1937,,Saraswati Devi,,,,,
1937,,Renuka Devi,,,,,
1937,,"Devika Rani, Saroj Borkar",,,,,
1937,,"Devika Rani, Mumtaz Ali",,,,,
1937,,"Devika Rani, Balwant Singh",,,,,
1937,,Balwant Singh,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,Rajkumari,,,,,
1937,,"Ranjit Rai, Shirin",,,,,
1937,,Rajkumari,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,"Ismail Azad, Lallubhai Nayak",,,,,
1937,,Shankarrao Khatu,,,,,
